feature,mean_abs_shap
contract_risk,0.4954298
support_intensity,0.1927453
loyalty_score,0.18823262
tenure_log,0.15880379
monthly_charges_log,0.13288574
tenure_bin,0.09341581
financial_stress,0.065335594
support_late_combo,0.039366063
late_payment_flag,0.03772384
autopay_binary,0.03362989
high_value_mtm,0.027222244
usage_tier_ratio,0.02169867
avg_monthly_revenue,0.01803991
new_no_autopay,0.014434287
contract_tenure_mismatch,0.01125422
price_sensitivity,0.00889404
is_new_customer,0.008859234
usage_efficiency,0.008036451
bundled_loyal,0.0056401454
pay_bank,0.0046078614
is_high_value,0.0036177384
loc_rural,0.0030365032
loc_suburban,0.0028608628
num_services,0.002625243
charges_anomaly_flag,0.0025615233
is_established,0.0024867707
referral_flag,0.0011982648
is_mpesa,0.001197998
is_heavy_support,0.0011068737
pay_debit,0.0010995829
service_encoded,0.001059801
pay_credit,0.0008652704
pay_cash,0.00041723653
premium_low_usage,0.0
payment_friction,0.0
